PA,SZ,Year,AGE0-4,AGE05-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85over,YOUNG,ACTIVE,OLD,TOTAL
Hougang,Hougang West,2018,1270,1470,1770,2340,3490,4180,3100,2800,2740,3090,3860,4800,4230,3070,1800,1140,660,510,10340,28800,7180,46320
Hougang,Kangkar,2018,1660,1370,1470,1650,1700,2200,2560,2250,2320,2260,2240,2280,2160,1610,1050,750,450,320,7850,18270,4180,30300
Hougang,Kovan,2018,900,1160,1320,1600,1800,2110,1560,1590,1910,2050,1900,2070,1970,1460,950,640,370,390,6780,15160,3810,25750
Hougang,Lorong Ah Soo,2018,970,1140,1520,1790,2030,2360,1980,2140,2260,2460,2600,2690,2670,2190,1500,1040,630,520,7450,19160,5880,32490
Hougang,Tai Seng,2018,470,650,680,830,1040,1070,810,830,880,1030,1120,1220,1120,910,530,440,310,280,3670,8080,2470,14220
Hougang,Trafalgar,2018,1680,2090,2330,2820,3270,3200,2660,2910,3210,3470,3860,3950,3310,2400,1400,820,500,420,12190,26570,5540,44300
Jurong East,Jurong Gateway,2018,20,20,20,30,30,40,40,40,40,50,30,20,20,10,0,0,0,0,120,280,10,410
Jurong East,Lakeside,2018,30,20,30,30,40,70,80,60,60,80,60,50,80,90,50,50,20,10,150,540,220,910
Jurong East,Teban Gardens,2018,930,910,910,1020,1070,1390,1350,1470,1390,1350,1400,1370,1390,1420,950,500,280,200,4840,11110,3350,19300
Jurong East,Toh Guan,2018,490,600,770,930,1140,1370,990,1010,1030,1190,1200,1390,1330,860,410,250,160,120,3930,9510,1800,15240
Jurong East,Yuhua East,2018,720,890,1150,1360,1550,1870,1740,1730,1830,1900,1890,2030,2280,1830,1190,740,400,390,5670,15270,4550,25490
Jurong East,Yuhua West,2018,700,780,990,1160,1310,1530,1280,1260,1370,1520,1540,1670,1660,1370,740,510,300,250,4940,11830,3170,19940
Jurong West,Boon Lay Place,2018,1800,1790,1650,1810,1870,2120,2590,2440,2270,2310,2260,2100,1710,1460,890,590,310,250,8920,17800,3500,30220
Jurong West,Hong Kah,2018,1910,2290,2790,3240,3480,4200,3620,3970,4080,4270,4180,4170,4430,3630,2180,1290,650,490,13710,32920,8240,54870
Jurong West,Jurong West Central,2018,3020,4170,4410,3970,3730,4730,4810,6340,6450,5560,4580,4250,4040,2730,1440,730,430,320,19300,40760,5650,65710
Jurong West,Taman Jurong,2018,2010,2110,2190,2570,2760,2790,2810,3150,2850,3250,3090,2690,2330,1760,1030,630,350,280,11640,22960,4050,38650
Jurong West,Wenya,2018,530,670,660,470,360,450,620,980,900,670,520,430,390,300,170,120,70,80,2690,4960,740,8390
Jurong West,Yunnan,2018,2360,3100,3850,4860,6150,5830,4100,4790,5080,5310,6230,5540,4530,3370,1810,990,570,400,20320,41410,7140,68870
Kallang,Bendemeer,2018,1710,1640,1370,1420,1600,2400,2960,3200,2940,2650,2370,2480,2590,2380,1570,1260,760,730,7740,21590,6700,36030
Kallang,Boon Keng,2018,500,460,440,550,610,810,850,880,850,920,930,960,950,850,590,510,280,300,2560,7150,2530,12240
Kallang,Crawford,2018,260,250,290,310,380,490,440,420,540,610,700,890,840,790,630,500,350,290,1490,4930,2560,8980
Kallang,Geylang Bahru,2018,340,410,500,590,660,720,650,780,860,1010,1010,1010,940,770,610,500,330,290,2500,6980,2500,11980
Kallang,Kampong Bugis,2018,20,20,20,40,50,90,60,60,60,40,50,70,100,80,30,20,20,10,150,530,160,840
Kallang,Kampong Java,2018,370,490,480,490,530,660,640,770,900,890,840,810,730,730,550,370,270,230,2360,6240,2150,10750
Kallang,Lavender,2018,370,400,470,400,470,650,570,700,780,810,780,790,710,640,450,330,220,190,2110,5790,1830,9730
Kallang,Tanjong Rhu,2018,460,630,660,650,540,510,550,860,1160,1200,950,740,700,540,360,270,150,140,2940,6670,1460,11070
Lim Chu Kang,Lim Chu Kang,2018,0,0,0,10,0,0,0,0,0,0,10,20,10,0,10,0,0,0,10,40,10,60
Mandai,Mandai Estate,2018,90,100,120,150,170,160,140,130,170,170,180,170,130,80,70,50,30,20,630,1250,250,2130
Marine Parade,Katong,2018,410,520,470,500,510,560,520,760,880,830,730,640,580,480,370,250,190,200,2410,5500,1490,9400
Marine Parade,Marine Parade,2018,1120,1420,1430,1400,1370,1390,1410,1920,2200,2380,2080,1890,1800,1630,1340,1220,840,690,6740,15070,5720,27530
Marine Parade,Mountbatten,2018,460,560,570,580,600,670,600,750,880,930,760,750,650,580,430,220,180,180,2770,5990,1590,10350
Museum,Dhoby Ghaut,2018,10,10,0,0,0,20,30,40,30,30,20,20,10,20,0,0,0,0,20,200,20,240
Museum,Fort Canning,2018,0,10,10,0,10,0,0,10,20,30,20,20,10,0,10,0,0,0,30,110,10,150
Newton,Cairnhill,2018,190,250,190,170,180,200,220,290,330,400,310,260,200,200,130,70,70,70,980,2210,540,3730
Newton,Goodwood Park,2018,70,110,80,50,50,70,50,100,120,120,100,70,60,40,30,20,10,30,360,690,130,1180
Newton,Monk's Hill,2018,40,60,60,50,60,60,50,60,100,100,90,70,50,40,30,40,20,20,270,580,150,1000
Newton,Newton Circus,2018,20,10,10,0,0,0,20,30,20,30,30,20,10,20,10,0,0,0,40,160,30,230
Newton,Orange Grove,2018,70,90,80,60,70,90,60,90,160,150,150,140,120,120,80,30,30,20,370,960,280,1610
Novena,Balestier,2018,1300,1510,1450,1460,1660,2200,2180,2520,2620,2720,2490,2320,2170,1800,1430,1130,700,700,7380,19220,5760,32360
Novena,Dunearn,2018,130,210,260,250,260,230,160,210,260,330,320,290,250,230,180,140,100,100,1110,2050,750,3910
Novena,Malcolm,2018,130,230,190,160,150,140,120,170,240,250,190,210,170,170,120,60,60,70,860,1490,480,2830
Novena,Moulmein,2018,560,910,560,430,390,420,530,890,1070,910,630,510,410,340,230,180,130,120,2850,5370,1000,9220
Novena,Mount Pleasant,2018,20,40,30,50,60,50,40,40,40,40,60,60,60,50,30,20,20,20,200,390,140,730
Orchard,Boulevard,2018,20,30,20,10,20,30,30,30,40,40,20,30,30,40,20,20,10,10,100,250,100,450
Orchard,Somerset,2018,0,10,0,0,0,0,20,10,20,20,20,0,10,0,0,0,0,0,10,100,0,110
Orchard,Tanglin,2018,20,30,20,30,20,30,20,30,50,40,40,40,20,20,30,10,0,10,120,270,70,460
Outram,China Square,2018,40,30,20,30,60,100,100,90,110,100,120,130,140,160,110,90,50,40,180,890,450,1520
Outram,Chinatown,2018,580,670,480,330,380,610,650,1130,1160,830,720,700,640,640,480,370,250,330,2440,6440,2070,10950
Outram,Pearl's Hill,2018,220,230,260,250,270,390,340,340,390,460,560,710,720,670,510,440,260,320,1230,3910,2200,7340
Outram,People's Park,2018,0,0,0,0,10,40,30,40,20,40,20,20,20,20,10,10,10,0,10,230,50,290
Pasir Ris,Flora Drive,2018,600,700,880,970,1070,1010,760,1060,1350,1290,1290,1160,910,600,370,270,180,180,4220,8830,1600,14650
Pasir Ris,Loyang East,2018,60,60,120,150,180,170,100,110,150,160,180,230,190,130,70,40,30,30,570,1290,300,2160
